Event_num,,Start,Dur,Amp,Freq,FModA,ixA1,ixA2,FModB,ixB1 (always 0),ixB2,att,dec,skew,dis,rev,,,,,,ch1,ch2,ch3,ch4,,,ampF,skwF,IAF,IBF,,,,,,,
36,i1,141.3775848,3.54875775,262.3881752,1306.469202,3420.33637,0.222044807,0.888179227,499.0712351,0,2.888179227,1.181736331,1.181736331,0.012712849,0.329876978,0.18,0,0,0,0,0,0.794343164,0.60746929,0,0,0,0,2,6,3,4,,,,,,,
37,i1,142.0854692,4.549104062,244.0985554,1453.91443,3806.347976,0.208691997,0.83476799,555.3953121,0,2.83476799,1.514851653,1.514851653,0.011571744,0.238494847,0.18,0,0,0,0,0,0.128652612,0.991689722,0,0,0,0,2,6,3,4,,,,,,,
38,i1,143.9436657,4.53876105,235.0823072,1533.764502,4015.395466,0.202068256,0.808273025,585.8980397,0,2.808273025,1.51140743,1.51140743,0.011014155,0.189464571,0.18,0,0,0,0,0,0,0.59547821,0.80337146,0,0,0,2,6,3,4,,,,,,,
39,i1,144.2091223,5.223008506,290.3395721,1112.857791,2913.461696,0.242247218,0.968988871,425.1116761,0,2.968988871,1.739261833,1.739261833,0.01448127,0.158489319,0.18,0,0,0,0,0,0,0,0.80231878,0.596895782,0,0,2,6,3,4,,,,,,,
40,i1,144.65155,5.6520854,299.7621173,1054.920751,2761.782526,0.249004809,0.996019238,402.9797269,0,2.996019238,1.882144438,1.882144438,0.01508374,0.136979319,0.18,0,0,0,0,0,0.34122187,0,0,0.939982785,0,0,2,6,3,4,,,,,,,
41,i1,145.8018621,5.243592426,299.7621173,1054.920751,2761.782526,0.249004809,0.996019238,402.9797269,0,2.996019238,1.746116278,1.746116278,0.01508374,0.121087015,0.18,0,0,0,0,0,0.962246181,0,0,0.272180614,0,0,2,6,3,4,,,,,,,
42,i1,149.4545455,11.87684248,244.0985554,1453.91443,3806.347976,0.208691997,0.83476799,555.3953121,0,2.83476799,3.954988547,3.954988547,0.011571744,0.158489319,0.15,0,0,0,0,0,0,0,0.913361964,0.407148527,0,0,2,6,3,4,,,,,,,
43,i1,152.969697,10.63455043,299.7621173,1054.920751,2761.782526,0.249004809,0.996019238,402.9797269,0,2.996019238,3.541305294,3.541305294,0.01508374,0.136979319,0.15,0,0,0,0,0,0,0,0.272180614,0.962246181,0,0,2,6,3,4,,,,,,,
44,i1,158.6818182,6.318181818,290.3395721,1112.857791,2913.461696,0.242247218,0.968988871,425.1116761,0,2.968988871,2.103954545,2.103954545,0.01448127,0.121087015,0.15,0,0,0,0,0,0.857556448,0,0,0.514389869,0,0,2,6,3,4,,,,,,,
45,i1,165,5.813776741,309.2244721,1000,1618,0.102306118,0.409224472,618,0,2.309224472,0.3,2.751888371,0.015691835,0.722981181,0.05,0,0,0,0,0,0.679538707,0,0,0.733639656,0,0,7,6,2,4,,,,,,,
46,i1,165.26,8.057483478,347.3294938,807.4593336,1306.469202,0.113096607,0.452386427,499.0098681,0,2.448468153,0.3,3.873741739,0.018170442,0.415243647,0.05,0,0,0,0,0,0.795602828,0.605818571,0,0,0,0,7,6,2,4,,,,,,,
47,i1,165.32,9.821885766,337.7783817,851.8056065,1378.221471,0.110406446,0.441625782,526.4158648,0,2.414726394,0.3,4.755942883,0.017544824,0.300213342,0.05,0,0,0,0,0,0,0.788501828,0.615032412,0,0,0,7,6,2,4,,,,,,,
48,i1,165.42,11.25189406,395.0678991,618.0469716,1000,0.126406196,0.505624783,381.9530284,0,2.606205583,0.3,5.470947031,0.021338326,0.238494847,0.05,0,0,0,0,0,0,0,0.707106781,0.707106781,0,0,7,6,2,4,,,,,,,
49,i1,165.84,12.16,366.4444413,725.5727913,1173.976776,0.118452621,0.473810482,448.403985,0,2.513765256,0.3,5.925,0.01943088,0.199503716,0.05,0,0,0,0,0,0.855997673,0,0,0.516979675,0,0,7,6,2,4,,,,,,,
50,i1,166,9.714673913,442.3484132,473.0666217,765.4217939,0.348450253,1.393801012,180.7114495,0,3.393801012,1.213512757,4.685310798,0.024538232,0.25,0.05,0,0,0,0,0,0,0.979862881,0.199671566,0,0,0,2,6,3,4,,,,,,,
51,i1,173.7717391,11.49557997,375.9971541,687.7983874,1112.857791,0.302789346,1.211157384,262.738984,0,3.211157384,1.81811778,5.209442776,0.020064852,0.25,0.05,0,0,0,0,0,0,0.733639656,0.679538707,0,0,0,2,6,3,4,,,,,,,
52,i1,175.5652174,19.04377669,470.315228,402.9608006,651.9905754,0.367412454,1.469649815,153.9310258,0,3.469649815,2.140576056,9.397675961,0.02645779,0.25,0.05,0,0,0,0,0,0,0.313189041,0.949690805,0,0,0,2,6,3,4,,,,,,,
53,i1,178.5543478,26.63885271,414.0629676,555.3692275,898.5874101,0.32910554,1.316422158,212.1510449,0,3.316422158,3.688006432,12.52923855,0.02261678,0.25,0.05,0,0,0,0,0,0,0,0.795602828,0.605818571,0,0,2,6,3,4,,,,,,,
54,i1,178.5543478,1.1676326,404.5769264,585.8705225,947.9385054,0.322578657,1.290314627,223.8025396,0,3.290314627,0.388821656,0.46705304,0.0219771,0.25,0.06,0,0,0,0,0,0,0.979862881,0.199671566,0,0,0,2,6,3,4,,,,,,,
55,i1,179.5738788,2.730762713,404.5769264,585.8705225,947.9385054,0.322578657,1.290314627,223.8025396,0,3.290314627,0.909343984,1.092305085,0.0219771,0.25,0.06,0,0,0,0,0,0,0.733639656,0.679538707,0,0,0,2,6,3,4,,,,,,,
56,i1,180.2012825,4.475553345,395.0678991,618.0469716,1000,0.31601549,1.264061958,236.0939431,0,3.264061958,1.490359264,1.790221338,0.021338326,0.25,0.06,0,0,0,0,0,0,0.313189041,0.949690805,0,0,0,2,6,3,4,,,,,,,
57,i1,181.8482172,5.931392694,337.7783817,851.8056065,1378.221471,0.276016114,1.104064456,325.3897417,0,3.104064456,1.975153767,2.372557078,0.017544824,0.25,0.06,0,0,0,0,0,0,0,0.795602828,0.605818571,0,0,2,6,3,4,,,,,,,
58,i1,182.0834936,7.81798469,347.3294938,807.4593336,1306.469202,0.282741517,1.130966067,308.4494654,0,3.130966067,2.603388902,3.127193876,0.018170442,0.25,0.06,0,0,0,0,0,0,0,0.375601184,0.926781393,0,0,2,6,3,4,,,,,,,
